"RSQ";"Ort";"Platz";"Geschlecht";"SKM"
5;"Berlin";"1  -  10";"M";"S_KM_15"
5;"Berlin";"1  -  3";"M";"S_KM_35"
5;"Berlin";"1  -  10";"M";"S_KM_5"
4;"Berlin";"1  -  3";"M";"S_KM_20"
4;"Berlin";"1  -  3";"M";"S_KM_HM"
4;"Berlin";"1  -  5";"M";"S_KM_20"
4;"Berlin";"1  -  3";"M";"S_KM_40"
4;"Berlin";"1  -  5";"M";"S_KM_HM"
3;"Berlin";"1  -  3";"M";"S_KM_25"
3;"Berlin";"1  -  3";"M";"S_KM_FN"
3;"Berlin";"1  -  3";"M";"S_KM_30"
2;"Berlin";"1  -  5";"M";"S_KM_25"
2;"Berlin";"1  -  5";"M";"S_KM_40"
2;"Berlin";"1  -  10";"M";"S_KM_20"
2;"Berlin";"1  -  10";"M";"S_KM_HM"
2;"Berlin";"1  -  5";"M";"S_KM_30"
2;"Berlin";"1  -  5";"M";"S_KM_35"
2;"Berlin";"1  -  5";"M";"S_KM_FN"
1;"Berlin";"1  -  3";"M";"S_KM_5"
1;"Berlin";"1  -  10";"M";"S_KM_40"
1;"Berlin";"1  -  10";"M";"S_KM_25"
1;"Berlin";"1  -  10";"M";"S_KM_FN"
1;"Berlin";"1  -  10";"M";"S_KM_30"
0;"Berlin";"1  -  10";"M";"S_KM_35"
